cu_media_ppm,Ii,E_Ii,Var_Ii,Z_Ii,p_value,Tipo_cluster,Cluster_LISA
70.0,-0.03560325215700222,-0.0015337423312883436,0.1970205064011981,-1.140487107808651,0.122,LH,No significativo
77.5,0.004888730211780108,-0.0015337423312883436,0.1970205064011981,0.15574413415200739,0.386,HH,No significativo
85.0,-0.07158852411425418,-0.0015337423312883436,0.24665285205918713,-0.5750713911175332,0.312,HL,No significativo
92.5,-0.14534971079736608,-0.0015337423312883436,0.32937342815583553,-0.636342664077354,0.285,HL,No significativo
10.0,0.9553230791653589,-0.0015337423312883436,0.24665285205918713,1.4092710335504155,0.049,LL,LL
70.0,0.08172277565001244,-0.0015337423312883434,0.1639322759625387,2.8242489885691406,0.001,LL,LL
21.0,1.040909559246603,-0.0015337423312883436,0.1970205064011981,2.0741511727278352,0.005,LL,LL
85.0,0.21055500810259067,-0.0015337423312883436,0.24665285205918713,1.6923196936438971,0.061,HH,No significativo
70.0,-0.0755187966802806,-0.0015337423312883432,0.14029782564921053,-2.847653675620946,0.01,LH,LH
138.88888888888889,1.1086472888758758,-0.0015337423312883436,0.1970205064011981,1.8255521205728333,0.058,HH,No significativo
75.0,-0.007376446953040751,-0.0015337423312883436,0.991138036929023,-0.20980525282615456,0.476,HL,No significativo
63.333333333333336,0.0497801698707313,-0.0015337423312883436,0.4948145803491324,0.36392385658431725,0.413,LL,No significativo
100.0,-0.06722050211049793,-0.0015337423312883436,0.32937342815583553,-0.2191706068055232,0.465,HL,No significativo
76.0,0.004096367552451983,-0.0015337423312883436,0.24665285205918713,0.14677843387632603,0.39,HH,No significativo
73.33333333333333,-0.00037961262656889045,-0.0015337423312883436,0.24665285205918713,-0.6623149130504921,0.233,LH,No significativo
20.0,0.67713211623301,-0.0015337423312883436,0.4948145803491324,0.883485541648104,0.176,LL,No significativo
150.0,0.6224496172269883,-0.0015337423312883436,0.24665285205918713,0.7575713210116404,0.212,HH,No significativo
125.0,0.7377666237912933,-0.0015337423312883434,0.1639322759625387,1.701779176198198,0.059,HH,No significativo
100.0,0.379292269709474,-0.0015337423312883436,0.24665285205918713,1.321176424381257,0.108,HH,No significativo
50.0,0.05966204417520217,-0.0015337423312883436,0.32937342815583553,0.22845009841197814,0.463,LL,No significativo
70.0,0.031403516459257805,-0.0015337423312883436,0.4948145803491324,0.6532695714148872,0.286,LL,No significativo
